clothingtypecategory,clothingtypekey,clovalue
Underwear (Bottom),Pantyhose,0.02
Underwear (Bottom),Panties,0.03
Underwear (Bottom),Briefs,0.04
Underwear (Bottom),Pants 1/2 long legs made of wool,0.06
Underwear (Bottom),Pants long legs,0.1
Underwear (Top),Bra,0.01
Underwear (Top),Shirt sleeveless,0.06
Underwear (Top),T-shirt,0.09
Underwear (Top),Shirt with long sleeves,0.12
Underwear (Top),Half-slip in nylon,0.14
Shirts,Tube top,0.06
Shirts,Short sleeve,0.09
Shirts,Light blouse with long sleeves,0.15
Shirts,Light shirt with long sleeves,0.2
Shirts,Normal with long sleeves,0.25
Shirts,Flannel shirt with long sleeves,0.3
Shirts,Long sleeves with turtleneck blouse,0.34
Trousers,Shorts,0.06
Trousers,Walking shorts,0.11
Trousers,Light trousers,0.2
Trousers,Normal trousers,0.25
Trousers,Flannel trousers,0.28
Coveralls/Overalls,Overalls,0.28
Coveralls/Overalls,"Daily wear, belted",0.49
Coveralls/Overalls,Work,0.5
Coveralls/Overalls,Multi-component with filling,1.03
Coveralls/Overalls,Fiber-pelt,1.13
Sweaters,Sleeveless vest,0.12
Sweaters,Thin sweater,0.2
Sweaters,Long thin sleeves with turtleneck,0.26
Sweaters,Thick sweater,0.35
Sweaters,Long thick sleeves with turtleneck,0.37
Coat/Jacket,Vest,0.13
Coat/Jacket,Light summer jacket,0.25
Coat/Jacket,Smock,0.3
Coat/Jacket,Jacket,0.35
Coveralls/Overalls,Overalls multi-component,0.52
Coat/Jacket,Down jacket,0.55
Coat/Jacket,Coat,0.6
Coat/Jacket,Parka,0.7
Socks,Socks,0.02
Shoes,Thin soled shoes,0.02
Shoes,Quilted fleece slippers,0.03
Shoes,Thick soled shoes,0.04
Socks,Thick ankle socks,0.05
Shoes,Boots,0.05
Socks,Thick long socks,0.1
"Skirts, dresses",Light skirt 15 cm. above knee,0.01
"Skirts, dresses",Light skirt 15 cm. below knee,0.18
"Skirts, dresses",Heavy skirt knee-length,0.25
"Skirts, dresses",Light dress sleeveless,0.25
"Skirts, dresses",Winter dress long sleeves,0.4
